Name,Price,Spread,RollLong,RollShort,PIP,PIPCost,MarginCost,Market,LotAmount,Commission,Symbol
AUD/USD,0.63663,0.00016,0.24,-0.51,0.0001,0.09197,-6.66,0,1000,0.6,AUD/USD
EUR/CHF,1.05201,0.00016,0.08,-0.5294,0.0001,0.095084,-3.33,0,1000,0.8,EUR/CHF
EUR/USD,1.08762,0.00012,-0.3,0.034,0.0001,0.09197,-3.33,0,1000,0.6,EUR/USD
GBP/USD,1.25082,0.00011,0.05,-0.12,0.0001,0.09197,-3.33,0,1000,0.6,GBP/USD
GER30,10700.91,2,-0.0918,0,1,0.1,-6.66,UTC:0030-2100,1,0,GER30
NAS100,8811.33,1,0.0477,-0.09,1,0.09197,-6.66,UTC:2300-2200,1,0,NAS100
SPX500,2875.32,0.38,0.3265,-0.5419,0.1,0.09197,-6.66,UTC:2300-2200,1,0,SPX500
UK100,5848.31,2,-0.0883,0,1,0.114993,-6.66,UTC:0100-2100,1,0,UK100
US30,24277.3,2,0.1271,-0.2948,1,0.09197,-6.66,UTC:2300-2200,1,0,US30
USD/CAD,1.40056,0.00009,-0.21,0.09,0.0001,0.065674,-3.33,0,1000,0.8,USD/CAD
USD/CHF,0.96747,0.00018,0.15,-0.58,0.0001,0.095105,-3.33,0,1000,0.6,USD/CHF
USD/JPY,107.56,0.0053,0.02,-0.04,0.01,0.085525,-3.33,0,1000,0.6,USD/JPY
XAG/USD,23.11,0.03,-0.0003,0,0.01,0.009,-13.33,UTC:2300-2200,1,0,XAG/USD
XAU/USD,1778.31,0.3,-0.0124,0,0.01,0.009,-6.66,UTC:2300-2200,1,0,XAU/USD
