Date,PnL
2018-06-01,2.31
2018-06-03,0.96
2018-06-04,-2.14
2018-06-05,-4.82
2018-06-06,-10.48
2018-06-07,-11.52
2018-06-08,-8.97
2018-06-10,-10.85
2018-06-11,-9.63
2018-06-12,-7.06
2018-06-13,-12.74
2018-06-14,11.07
2018-06-15,6.48
2018-06-17,8.29
2018-06-18,4.60
2018-06-19,8.85
2018-06-20,6.45
2018-06-21,0.28
2018-06-22,5.71
2018-06-24,5.81
2018-06-25,9.76
2018-06-26,4.65
2018-06-27,7.67
2018-06-28,-5.74
2018-06-29,-4.78
2018-07-01,-4.82
2018-07-02,-13.29
2018-07-03,-13.92
2018-07-04,-13.71
2018-07-05,-10.64
2018-07-06,-5.64
2018-07-08,-4.76
2018-07-09,-4.28
2018-07-10,-14.17
2018-07-11,-18.66
2018-07-12,-17.60
2018-07-13,-19.55
2018-07-15,-19.04
2018-07-16,-22.84
2018-07-17,-23.62
2018-07-18,-22.91
2018-07-19,-26.80
2018-07-20,-19.86
2018-07-22,-18.20
2018-07-23,-23.06
2018-07-24,-32.49
2018-07-25,-38.80
2018-07-26,-41.24
2018-07-27,-42.97
2018-07-29,-42.96
2018-07-30,-48.87
2018-07-31,-50.68
2018-08-01,-50.06
2018-08-02,-42.18
2018-08-03,-40.99
2018-08-05,-39.89
2018-08-06,-39.49
2018-08-07,-43.99
2018-08-08,-44.77
2018-08-09,-36.10
2018-08-10,-31.81
2018-08-12,-31.81
2018-08-13,-31.81
2018-08-14,-31.81
2018-08-15,-31.81
2018-08-16,-32.95
2018-08-17,-25.84
2018-08-19,-26.34
2018-08-20,-20.93
2018-08-21,-14.82
2018-08-22,-14.82
2018-08-23,-15.80
2018-08-24,-11.84
2018-08-26,-9.67
2018-08-27,-6.12
2018-08-28,-5.25
2018-08-29,-3.51
2018-08-30,-11.40
2018-08-31,-5.73
